,book_title,sent_spoil,sentence
276379,"Magic Bleeds (Kate Daniels, #4)",0,I loved him for that.
227905,The Empire Strikes Back,0,"""I am your father."""
228068,Please Ignore Vera Dietz,0,Can people fight their fate?
125425,"Beautiful Oblivion (The Maddox Brothers, #1)",0,How he had a crush on her ever since they were younger and she didn't even knew that he had his sights on her since then.
262081,"Mistborn (Mistborn, #1)",0,"""Niceing the not on the playing without."""
26405,"Shadow Moon (Unbidden Magic, #4)",0,But then it was explained.
83032,The Circle,0,.
223909,"Storm and Silence (Storm and Silence, #1)",0,"But since I was committed to the review and was keen on knowing the story, I continued."
235682,"Turbulence (Turbulence, #1)",0,Jake Weston was everything.
30683,"The Republic of Thieves (Gentleman Bastard, #3)",0,10/13/12 EDIT: I've noticed that Amazon shares my feelings in that it's hard to believe at this point this book will ever come out.
235727,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",0,Read this and more reviews at Romancing the Laser Pistol.
118855,Phantom Limbs,0,Every one of them is fantastically fleshed out and real.
227636,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",0,Lewis seems like a nice dude even I usually hate Christian propaganda in my books.
103490,"Fighting Shadows (On the Ropes, #2)",0,I heard the gun.
71859,All the Bright Places,0,A must read.
185913,"Aftertime (Aftertime, #1)",1,"A little backstory: This book takes place in California awhile after world wars, plagues, terrorism, etc."
202219,"The Last Star (The 5th Wave, #3)",1,It was symbolic of humanity enduring but still... I hate it when the main character gets killed off.
228048,The Martian,0,Mark Watney is such an awesome narrator.
19446,"The Ward (The Ward, #1)",0,Freaking epic.
94390,"Far from Home (Belladonna Ink, #1)",0,"I have not read anything else by Lorelie Brown, I will definitely be keeping an eye out for more of her books."
105386,"Lumberjack In Love (Lumberjack in Love, #1)",0,"My entire friends list loved this, but when I got to the 60% mark and still didn't give one damn, I decided to throw in the towel."
183867,"Affliction (Knights Rebels MC, #2)",0,"Sylas ""Sy"" Dean is a mystery even to his MC brothers."
97033,A Bit of Bite,0,Series Best Read In Order: N/A
59297,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",0,"Lots of horrible violence happens, but it is all so wrapped up in the plot of the books and so carefully described that I, for one, did not realize just how much there was until I was writing this very review."
190388,Falling into Place,0,"Overall, it's a real quick and interesting book that I recommend."
110659,"Taste the Heat (Love and Games, #1)",0,But!
65365,The Fault in Our Stars,0,Heartache.
207513,"The Knife of Never Letting Go (Chaos Walking, #1)",1,I hate you Todd!
151049,Fight Club,0,* The book may make you doubt having any food you have in any major hotel
42001,"Something Blue (Darcy & Rachel, #2)",0,"I didn't have any compassion towards her when she suffered through her losses, and I certainly didn't expect that I would even want to try and understand why she was the way she was."
171592,"Tiger's Destiny (The Tiger Saga, #4)",0,*sigh*
214757,Monstrous Beauty,0,"Since I'm feeling lazy (and there's still seven hours left before I can break my fast for the day), I decided to compile the pros and cons of Monstrous Beauty into a list so you can decide for yourself."
220890,Foundation (Foundation #1),1,"I would have liked to like the story and I would have liked to care about the characters, alas that was not so in this book."
90823,"Misunderstandings (Woodfalls Girls, #2)",0,I just wasn't ready to commit.
177248,"Level 2 (The Memory Chronicles, #1)",0,"Sorry, come back next time."
10419,"Ruin (The Faithful and the Fallen, #3)",0,"Although the whole liking each other but not admitting it, then kissing suddenly, but not discussing... gets a bit annoying :D"
125867,How to Be a Woman,0,"Moran has a knack for taking the issues that many women deal with and serving them up with humour, exasperation and compassion in a way that hopefully makes them understandable to a much broader swathe of the population than would listen to, say, Germaine Greer making the same points."
92485,Rook,0,"But 18 year old Sophia is not what she seems, as underneath her beautiful exterior she is the fabled Red Rook; the hero of the Commonwealth and the most wanted vigilante in the new world."
297556,"The Rogue Pirate's Bride (The Sons of the Revolution, #3)",0,I received this advanced review copy in exchange for an honest review.
104403,Slasher Girls & Monster Boys,0,Though I was a little annoyed by the fact that it was too obvious.
188417,California,0,They escaped from district 12 and live out in the wilderness of Panem.
74187,"Shadow Moon (Unbidden Magic, #4)",0,"Then, in book four, things got even more bizarre."
51082,Conjured,0,Diversity Ratings: | POC Chars - 2+ | Queer Chars - 0 |
59488,The Price of Salt,0,"I am writing this ""review"" only to add this link from The New Yorker: http://www.newyorker.com/magazine/201... which explains Patricia's inspiration for the book and her life in great detail."
15020,Stripped Raw,0,I love all the issues that were tackled in this book - it's real and it's heartbreaking.
96677,Big Little Lies,0,"She loved it, and a lot to do with that is that she is a junior kindergarten teacher and she certainly related to just about everything in this."
234398,"Begging for It (Asking for It, #2)",0,"The sex is dirty and rough, but the affection that grew from the harsh and unlikely beginning between these two people is tender and sweet."
267378,"Fearscape (Horrorscape, #1)",0,Consider it a wannabe instead.
263094,Sweetland,0,"FYI, I've travelled a bit to small towns in Newfoundland, and that may have been a source of my enthusiasm."
143331,The Weight of It All,0,It seemed like their relationship was over long before it actually was though and it was good that it ended.
54178,A Hologram for the King,0,"In some ways, I think he is a sort of Steinbeck writer, in that he is writing books that'd serve well unearthed from a time capsule in the distant future."
85417,"A Torch Against the Night (An Ember in the Ashes, #2)",0,It is going to become a four-book series!
48449,"Flawed Love (House of Obsidian, #2)",0,We learned a lot about him during Pippa's story in Desolation and I was so excited to find out he was getting his own story!
120668,"The Perfect Waltz (The Merridew Sisters, #2)",0,His friend Giles was alot more fun.
212398,"Skin Deep (Legion, #2)",0,"Kind of reminded me of BBC's Sherlock, expanding on the concept of the ""mind palace."""
202597,"Me Before You (Me Before You, #1)",0,So I've downgraded it from a 5 to a 4.
28025,"My Soul to Save (Soul Screamers, #2)",0,"NOT WITH RACHEL VINCENT AS THE AUTHOR...NOT REALLY WITH MOST ANYONE AS THE AUTHOR HONESTLY, IT'S TEENAGE LOVE."
162374,Foundation (Foundation #1),0,"Not only does he predict the fall of the Empire, but he also predicts that the subsequent period of chaos will last for 30,000 years before the rise of the Second Galactic Empire."
166936,"Prodigy (Legend, #2)",0,"Maybe if I hadn't waited so long to start on it after finishing Legend, I might have still been in the mood for these naive and highly irrational notions of love coming from fifteen-year-olds, but as it was, I couldn't help but feel skeptical for a lot of it."
178046,"Scarlet (Scarlet, #1)",0,"I would much rather of had the first time she spoke have it described and then perhaps have it described as a thickening accent when she was upset or something, well, anything other than the jolting writing of her poor English."
18179,"Will & Patrick Meet the Mob (Wake Up Married, #5)",0,"Will finally has the heart-to-hearts he's needed, perhaps for years, with his mom and dad."
189894,Huntress,0,"I wish Con was fleshed out a bit better, but Taisin and Kaede were great."
30207,"Jet (Marked Men, #2)",0,I did find myself more intrigued with learning Cora's story.
22351,The Goblin Emperor,0,Strong world-building leads to a challenging read.
263582,"Unveiled (Turner, #1)",0,Why did I get such a wrong impression from the second book?
164144,The Astrologer's Daughter,0,"There was a cold case, a stranger, and a negative reading that resulted in yet another mystery."
41402,"Beauty and the Mustache (Knitting in the City, #4; Winston Brothers, #0.5)",0,It really showed how well they were together and them leaning on one another in their time of need was very sweet and what true romance is.
123956,It Ends with Us,0,"I waited a day to write this review, because like many other reviews have said, this book stays with you for days."
288580,Death of a Red Heroine (Inspector Chen Cao #1),0,"I'm a huge fan of mystery books, and what I love the most about them is how the detectives let me follow them as they conduct their investigations."
232895,"Hawkeye, Volume 2: Little Hits",0,"The idea of telling an entire story from the perspective of Hawkeye's dog could have just been a gimmick with its clever use of pictograms to represent the smells that Lucky experiences, but it's actually surprisingly touching."
174621,Demon from the Dark (Immortals After Dark #10),0,But she doesn't see any other path.
263518,Jane Eyre,0,"My main point of reference here is Austen, and whilst the characters do display similar concerns, the contrasts to Austen are interesting."
175380,"Darker Still (Magic Most Foul, #1)",0,"Northe quite well built and wish I got to see more from her outside of her role as ""go to spiritualist."""
199616,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",0,I'm not into villainizing famous historical figures.
50735,"Origin (Lux, #4)",0,Why did it have to end?!?!?!?!
275733,"Being Brooke (Barley Cross, #1)",0,This is why you should never fall in love with your best friend.
261155,The Husband's Secret,0,"This book centres around three women, with inter-connecting lives."
44975,"The Hundred Thousand Kingdoms (Inheritance Trilogy, #1)",1,Yeah pretty much.
94564,"The Anatomy of Jane (WJM, #1)",0,"Even though I have eleventy library books checked out, I'm reading this today because I think I caught a mutant strain of Man Flu and will be stuck at rainy baseball games all weekend instead of in bed where I belong."
195149,Let's Pretend This Never Happened: A Mostly True Memoir,0,"The book got more interested towards the last quarter, and I was starting to change the negative pending-review in my head to be more positive when I stumbled upon a chapter that seemed word-for-word exactly the ""knock knock, motherfucker"" metal chicken story that had gotten me interested in her in the first place."
14281,"Devil May Cry (Dark-Hunter, #11)",0,We see a very different side of him here and I'm curious to see where that is going to go leading up to his book.
18311,Five Nights at Freddy's: The Silver Eyes,0,I love my psychopaths but common on!
169635,"Need (Finding Anna, #2)",0,Hayes is telling Stephan and Brianna's story at a slow pace.
221807,Broken Symmetry,0,I think Broken Symmetry is a fantastic choice for a title as this is what the book's main focus is.
33324,The Dark Tower,0,what are the Taheens ?
90400,The Princess Diarist,0,"That diary (included), her attempts to understand the events of her life looking back, and the exploration of how they have built her life are what The Princess Diarist is about."
264492,"Kiss of Frost (Mythos Academy, #2)",0,This is probably just me being picky and whiny.
161893,"A Thousand Pieces of You (Firebird, #1)",0,I definitely enjoyed this sequence in the book the most.
217243,"A Book of Spirits and Thieves (Spirits and Thieves, #1)",0,She was so taken with him for a while and I just hated his guts.
121935,"World Without End (Kingsbridge, #2)",0,"Although I found the historical details very interesting, the story itself quickly became melodramatic and repetitive."
130192,"Ricochet (Vigilantes, #1)",0,Heartbreaking.
288836,"Falling Into Bed with a Duke (The Hellions of Havisham, #1)",0,"I figured they'd have their night of passion, Ashe would figure out her identity and start the wooing... But that's not how it happened at all."
293830,Gone Girl,0,"He gets home to find his wife, Amy, missing, his living room a mess."
170352,Forget You,0,Zoey's mom tried to commit suicide and I've dealt with and I'm STILL dealing with this issue with my own mother.
108397,The Siren,0,"I found this a little strange, and not elaborated enough."
66439,"Darkest Hour (The Mediator, #4)",1,At the end they have their first kiss.
35379,"The City of Brass (The Daevabad Trilogy, #1)",0,"Our story truly starts at a Zar Ceremony where Nahri is doing the steps she normally does while really just putting on a show to get paid at the end of the night, except this time she actually does feel something after an old song is sung."
181852,"Taking Chances (Taking Chances, #1)",0,"If you think acting like you don't exist isn't the hardest thing I've ever done, you're wrong."
177596,"Pivot Point (Pivot Point, #1)",0,It was interesting seeing how both of her lives played out and seeing how one choice could alter so much in the long run.
85456,"A Torch Against the Night (An Ember in the Ashes, #2)",0,"The book isn't really fast pace, but you still enjoy every moment with them."
36562,"Saving Raphael Santiago (The Bane Chronicles, #6)",0,ha!
9180,"Club Dead (Sookie Stackhouse, #3)",0,"In this one you get to see Sookie with other kinds of supernatural characters, and not just vampires."
220285,"The Iron Knight (The Iron Fey, #4)",0,"Tucked into the very end of the book are a Survival Guide to the Nevernever, a Q&A with Ms."
171820,The Martian,0,Kept me up all night reading even I really needed to get up early the next day.
123527,Simon vs. the Homo Sapiens Agenda,0,QUOTES
135694,Eighteen: 18,0,"It doesn't have to be traditional (marriage, kids, etc), but I really need to feel like everything is alright in the end."
269447,"UnEnchanted (An Unfortunate Fairy Tale, #1)",0,anywhoosle
182414,"Partials (Partials Sequence, #1)",0,"And when there was an attack on the hospital and the senate wanted to kill Samm, Kira helped him escape."
153600,Saving June,0,I am STUNNED that Saving June isn't waaayyyyy more talked about.
299445,Dark Matter,0,"Okay that's enough to ""be going on with"" as our cousins across the pond might say."
53731,Kiss Me Deadly: 13 Tales of Paranormal Love,0,Ones I really liked
169727,"Teardrop (Teardrop, #1)",0,!- the rest of the book had enough of an engaging plot and wonderful characters- even with their wacky names- for me to forget all about the first page and keep reading.
101281,"In a Dark, Dark Wood",0,"Normally, this would annoy me, because this is marked as a mystery thriller and the title, along with the synopsis, makes it seem like something dark and scary is going to happen."
6173,The Yiddish Policemen's Union,0,I'm much more familiar with its homages like this and Blade Runner.
228484,"Division Zero (Division Zero, #1)",0,"At the same time, there was at least one twist I really enjoyed."
131549,"Robopocalypse (Robopocalypse, #1)",0,"You get an impression of how they act during a crisis, and that is the most important thing during the present circumstances, but it doesn't encompass someone's entire personality."
152024,Lost Stars,0,"In trying to solve the problem of humanizing the Imperials, she has left, or perhaps even enlarged, the problem of how the Empire makes sense in the first place, for anyone."
242364,"Knight (Unfinished Hero, #1)",0,"Oh Crap."""
91154,"Croc and the Fox (Furry United Coalition, #3)",0,These two are as different as night and day but suit so well.
82952,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",0,"Also, the structure was weird."
31916,"The Winner's Curse (The Winner's Trilogy, #1)",0,"It was absolutely amazing, and I can't even describe how much I connected with these characters."
291164,"City of Ashes (The Mortal Instruments, #2)",0,"The author is giving her the whole ""virgin birth, born in a manger, son of God, turning-water-into-wine, healing-the-blind"" vibe."
106270,The Girl Who Knew Too Much,0,"When Hollywood moguls and stars want privacy, they head to an idyllic small town on the coast, where the exclusive Burning Cove Hotel caters to their every need."
207918,Trapped,0,Read more like this at:
37096,"Half-Blood (Covenant, #1)",0,"Looking for a brooding, stoic male lead that makes you swoon?"
250036,"Wolf by Wolf (Wolf by Wolf, #1)",0,"While a bunch of Nazi German and Japanese guys race their motorbikes to Tokyo, joining them appears to be last year's surprise Victor, Adele Wolfe...except she's really not."
253920,"The Alloy of Law (Mistborn, #4)",0,I love that.
271944,"Splintered (Splintered, #1)",0,Initial reaction to the writing style:
73322,"Prodigy (Legend, #2)",0,Really.
113861,"The Sword Thief (The 39 Clues, #3)",0,I did find the relationship between Ian and Amy off-putting and completely random.
46561,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",0,There is a lot of back-story on Tom Riddle/Lord Voldemort as well as the development of various relationships.
67462,"Hunt the Moon (Cassandra Palmer, #5)",0,Well maybe I do feel something.. A LOT of irritation!
250955,"Mayhem (Mayhem, #1)",0,"If you are looking for a light and funny love story to read for the summer, this one is good!"
178502,"Extreme Love (Love to the Extreme, #1)",0,The plot and pace of this book was spot on.
151375,Between,0,"I was a huge fan of Jessica Warman's book Where the Truth Lies, so I had to read this one once I heard about it."
244029,Acheron (Dark-Hunter #14),0,"He's always trapped, as a human and even later as something more."
15172,"Prince of Thorns (The Broken Empire, #1)",0,Again the character knows nothing about this person other than that he/she is amazingly beautiful?
248870,"Trial by Fire (Worldwalker, #1)",0,"Don't expect another Starcrossed, but do expect to be entertained."
174340,Beautiful Music for Ugly Children,0,"Weird blurriness behind the concept of ""what makes a man a man"", but I think that's just general young 'uns and not so progressive/feminist thinking."
205597,"Second Chance Boyfriend (One Week Girlfriend, #2)",0,They both had struggles but they learned to deal with it together.
7002,"The Studying Hours (How to Date a Douchebag, #1)",0,All while he fights to discover what he feels about this surprise in a sweater.
82760,The Book of Unknown Americans,0,"I was afraid there would be a cheesy teenage love story, but it wasn't over the top or a huge focus of the overall story, just the right amount."
28559,Under the Dome,0,3-3.5 stars.
282126,"Impulse (Impulse, #1)",0,The actors really brought Ellen Hopkins' words to life in a way I may not have appreciated as much in reading.
268464,I Remember You,0,It's important to point out that Juliet is also drawn to Lucas and there is definitely mutual attraction.
83591,"The Blade Itself (The First Law, #1)",0,"Not quite as rich and deep and dark as the work of George R R Martin, but it does have more pace and energy on its side."
36820,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",0,"Annabeth gets a prophecy, and her, Percy, Grover, and Tyson head off on another adventure."
173371,Bolt-Hole,0,"they can't know, right?"
287050,"Shadow and Bone (The Grisha, #1)",0,And perhaps the best part of the story was the incredible twist.
177816,"Skin Game (The Dresden Files, #15)",0,We also get to see Harry playing the game in this one.
185202,"Oddly Normal, Book 1",0,I started reading the issue when the came out but waiting a month between them is a pain in the ass and in this particular case I think this book loses momentum if you stop between issues.
166400,"Hidden Bodies (You, #2)",0,"In ""Hidden Bodies"" he gets... everything."
224981,"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)",0,It will not sit on my shelf with those 7 books as if it's a continuation of that series.
27542,Invincible Summer,0,"Chase's family is far from perfect and he must deal with parental conflict, a brother with a disability, lust, loss, and friendship."
247217,"Graveminder (Graveminder, #1)",0,I remember thinking she spent way too long developing the part when the characters were unaware of what was going on (but WE knew).
190947,Forbidden,0,"For one, that whole twilight scene where 'Edward saves Bella from the van' happens in the book and while I enjoyed Twilight I don't want to read things similar to it in this book."
35741,Tiger Lily,0,It's kind of amazing to feel this close to these two individuals knowing neither of them is the narrator.
227952,"Saugatuck Summer (Saugatuck, #1)",0,He felt more like a plot device to push Topher onto a certain path rather than a real emotional connection in his life.
66717,Black Bird of the Gallows,0,The author does add a touch of messiness to it but I felt it wasn't raw enough.
28659,"Providence (Providence, #1)",0,"If u like Jamie MacGuire, read it."
58152,The Darkest Lie (Lords of the Underworld #6),0,"Despite that, their story was bittersweet and a necessary step on the journey through this series."
160807,"Enclave (Razorland, #1)",0,In our reality rape is a big crime but in their reality they ain't know that.
54958,You Know Me Well,0,"It gets points for the diversity, but that's about it."
97631,"Let Love In (Love, #1)",0,To have a man treat a woman with the utmost care and devotion (especially at their age) is not common.
226424,"Nash (Marked Men, #4)",0,But I obviously digress.
96499,The Disenchantments,0,It was slow but I felt like it hit me hard emotionally.
112093,"Wallbanger (Cocktail, #1)",0,And I really enjoyed reading it!
66127,Night Watch (Watch #1),0,"However, I wanted more back story on how these watches came to be and how the treaty was put in place."
112042,"Scarlet (The Lunar Chronicles, #2)",0,And that... that's just plain wrong.
48111,"Hyperion (Hyperion Cantos, #1)",0,"I will probably get around to reading the next book, since I'd like to know what happens."
35155,The Queen's Vow: A Novel of Isabella of Castile,0,"This book should be subtitled: Isabella Tells You All About Her Reign, because that is what Gortner does--TELLS you what happened."
213208,"Al Capone Does My Shirts (Al Capone at Alcatraz, #1)",0,It wasn't a light read for me although it had a few moments of humor.
178737,"Blood Promise (Vampire Academy, #4)",0,Ugh.
207404,"Divergent (Divergent, #1)",0,"I was curious about what would happen next, but was not on the edge of my seat."
243956,"Rebel Spring (Falling Kingdoms, #2)",0,"I suppose what it comes down to is that, personally, I'm just not a fan of the writing style, because the story itself is interesting enough to where I looked forward to what happens next, but all the details and such didn't feel fleshed out enough."
222434,"King (King, #1)",0,The three of them together always left me with a smile on my face.
65150,"Unravel Me (Shatter Me, #2)",0,"As it would turn out, Adam likely has some sort of ability as well."
61434,The Grownup,0,"I did enjoy this book, which wasn't quite what I had expected."
239879,"Rosemary and Rue (October Daye, #1)",0,(This isn't a spoiler as it all happens in the first couple of pages).
138543,"The Burning Sky (The Elemental Trilogy, #1)",0,"If not, I still found it funny, in an ironic way."
205945,Just a Bit Wrong (Straight Guys #4),0,Tristan has a lot of emotional issues that he is not even aware of.
254718,"To Seduce a Sinner (Legend of the Four Soldiers, #2)",0,"Okay, there's nothing majorly wrong with the book, but here goes:"
153435,"Any Given Doomsday (Phoenix Chronicles, #1)",0,His mother was a fallen angel who seduced his father a medicine man.
158769,Counting by 7s,0,"(She got a perfect score, but it was due to her genius, not cheating.)"
288745,The Curious Incident of the Dog in the Night-Time,0,Interesting.
200914,"Dead and Gone (Sookie Stackhouse, #9)",0,"You wrote V. C. Andrews fan fic when you were younger, didn't you?)"
151069,"First Grave on the Right (Charley Davidson, #1)",0,"She's annoying, he's abusive, ugh."
126990,"Undead and Unfinished (Undead, #9)",0,Who am I kidding - BETTER happen!
287754,"Addicted for Now (Addicted, #2)",0,And they have to learn to let others be there for them.
85822,"Breaking a Legend (Kavanagh Legends, #1)",0,"She was witty and smart, and even after everything she had been through, remained strong."
293045,"The Becoming (Anna Strong Chronicles, #1)",0,"It was a short book, and I thought it moved fairly quickly through the storyline."
267610,"Girl of Nightmares (Anna, #2)",0,If someone knows can you please tell me?
143946,"Revealed: The Missing Years (Consequences, #4)",0,We wonder what happened to everyone who was involved in it.
274977,The Fill-In Boyfriend,0,She didn't even know what she thought until someone told her what to think.
133843,"Sway (Landry Family, #1)",0,His character was a little convoluted.
88006,The Love Interest,0,"I kept thinking of the things I would change to make the plot better, which is sad and I hate doing."
148533,"Let the Sky Fall (Sky Fall, #1)",0,But not in an over-the-top kind of way.
236622,"King Solomon's Mines (Allan Quatermain, #1)",0,There was not much value placed on those characters' lives.
208522,"The Iron Queen (The Iron Fey, #3)",0,BREIF SUMMARY:
76260,"The Way of Kings (The Stormlight Archive, #1)",0,"After reading so many infodumps in so many other novels, this was remarkably refreshing."
137205,"The Power of Six (Lorien Legacies, #2)",0,I thought John was being a HUGE idiot for most of the book.
280325,The Grapes of Wrath,0,Audio book performed by Dylan Baker
271723,"Reaper's Legacy (Reapers MC, #2)",0,"It's about trusting her."""
43263,"The Wrath of Cain (The Syndicate, #1)",0,Really great for a matter of fact.
206221,The Girls,0,"Since the plot is predictable, I sometimes got frustrated with the pacing."
226206,"Zeroes (Zeroes, #1)",0,"Fortunately, Zeroes doesn't fall into that category."
250517,"Emma (The Austen Project, #3)",0,I adore Alexander McCall Smith though and felt like his take on Emma could be quite funny.
113788,Frost,0,"Either way you look at it, there's much more to Frost House than first meets the eye."
156298,"Hidden Bodies (You, #2)",0,"For a goodly amount of time, the reader hasn't a clue who Joe is going to latch onto next, or if he'll get the revenge he feels he deserves."
8008,"Partials (Partials Sequence, #1)",0,"But anyway, the Partial, which they kidnap so that Kira can study him to find a cure for RM, the sickness that has killed more than 99% of the population."
293851,Gone Girl,0,This book would make a great movie.
259309,"Warm Bodies (Warm Bodies, #1)",0,"The body-eating aspect is treated carefully, without conjuring up the kind of imagery that I am far too susceptible to."
113082,"Fifty Shades Darker (Fifty Shades, #2)",0,More now please :)
258892,"The Selection (The Selection, #1)",0,It's not the Hunger Games but you knew that already so quit bitching.
118472,"Shiver (The Wolves of Mercy Falls, #1)",0,"But the central conceit that starts the book is too unbelievable, the main character Grace too ridiculous, and the love story too tedious."
253784,"Officer off Limits (Line of Duty, #3)",0,"I also felt like there wasn't as much action and danger as in her previous books, but it was still just as interesting and Tessa still brought her A Game when it came to creating an entertaining and intriguing plot."
89094,"Playing for Keeps (Neighbor from Hell, #1)",0,Not only did they make the perfect couple- they made perfect friends!!
29965,"Cress (The Lunar Chronicles, #3)",0,"In the process, they come across a young girl named Cress, whose blonde hair has remained uncut for as many years as she's been imprisoned in a satellite."
22013,"Better to Wish (Family Tree, #1)",0,"As one might expect with a book that spans such a great amount of time, it almost feels weird having this in the kids section, though it is clearly a book for kids, marketed towards kids (same with all of the Little House books, where we have These Happy Golden Years (the first years of Laura and Almonzo's marriage) in the kids section)."
43712,The Sweet Spot,0,I came across my first problem immediately.
71489,"My Blood Approves (My Blood Approves, #1)",0,I can't believe it took me this long to read this series.
163685,"Avenged (Ruined, #2)",0,"Ignore those comparisons (The Selection, Red Queen)."
265701,"The Girl Who Soared Over Fairyland and Cut the Moon in Two (Fairyland, #3)",0,Finding a book that I love often gives me really mixed emotions.
29160,The Kitchen House,0,I was so excited about reading this book because of the reviews and recommendations.
177157,"Audrey, Wait!",0,(Most notably Audrey's father and Audrey's best friend.)
206626,"The Lost Symbol (Robert Langdon, #3)",0,"I've read alot of wiki articles, see?"
190888,"Devil's Game (Reapers MC, #3)",0,"He spends a great deal of time online befriending Em, and they develop a relationship of sorts..or I should say; a friendship."
181611,"Cinder (The Lunar Chronicles, #1)",0,I adored reading this book again.
33339,The Dark Tower,0,I think they are there so that authors can escape from mess they have created in the story and are lazy enough to actually think of a way out of it .
287573,Small Great Things,0,thing that she does in all of her books.
257767,"Ruining You (Ruining, #2)",0,"Here's a hint, Jay, stop it."
262029,"Mistborn (Mistborn, #1)",0,"I loved his personality, and presence that demanded people look right at him when he enters the room (which is usually late)."
175885,When We Were Animals,0,At what times in her daily routine does this all hit home?
194729,The Basic Eight,0,Eigh kinds of awesome.
7029,"Siege and Storm (The Grisha, #2)",0,"Bardugo is a great, hooking writer."
193315,"Sinner's Gin (Sinners, #1)",0,The other thing that bothered me was the timeline.
231133,"Egghead: Or, You Can't Survive on Ideas Alone",0,Or sometimes it came at the end of a poem.
113936,"Wool Omnibus (Silo, #1)",0,Or a Bizarro-world Clifford Simak.
103382,"For Darkness Shows the Stars (For Darkness Shows the Stars, #1)",0,It sounded fun and interesting and right up my alley.
242242,Secret Sisters,0,I'll be honest - I don't go for Jayne Ann Krentz's books for it's awesome plot or characters.
273298,The False Prince (The Ascendance Trilogy #1),0,Three boys competing for a chance to play at being the prince?
54817,"The Wrath & the Dawn (The Wrath and the Dawn, #1)",0,This happens more often that you think.
74054,"Getting Him Back (Ethan & Wyatt, #1)",0,At first Ethan tries to get information about Blake from Wyatt by acting like he wants Wyatt who is an engineering student to tutor him in calculus.
88342,"Captive (The Blackcoat Rebellion, #2)",0,Kitty  : was pretty irritating in this book.
34049,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",0,"One begins to realize that there is a method and reason, and real brilliance, behind this apparent madness."
227675,The Call of the Wild,0,It makes the novel rather unique.
226673,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",0,I'm...conflicted.
270603,Blurred Lines,0,"And, really, any fan of contemporary romance should enjoy this one."
97307,"All Fall Down (Embassy Row, #1)",0,"The cast of characters is colorful and fantastic -- as all of Ally Carter's are -- and I can't wait to get to know them better, especially Grace."
59479,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",0,"It's cohesive, it flows, it is clear-headed."
41205,I've Got Your Number,0,Loved it.
292614,"Red Hill (Red Hill, #1)",0,"She managed to keep me addicted to what was happening, even while not understanding how all of it started."
62551,"Cruel Beauty (Cruel Beauty Universe, #1)",0,Things got a little strange but over it all it was...interesting?
255949,"After We Fell (After, #3)",0,I can't believe Dakota broke up with him!
287558,"Homeland (Little Brother, #2)",0,But it can't be compared to the previous novel.
144912,"The Consequence of Loving Colton (Consequence, #1)",0,I was gifted a copy in exchange for an honest review.
34559,"Talon (Talon, #1)",0,The rogue dragon was trouble.
121308,"Death On Demand (Death On Demand, #1)",0,"If the murderer is a tad too prolific (and successful at killing) in such a short time frame, well that can be forgiven."
109933,Imaginary Girls,0,(I would have preferred some bigger hints but what are you gonna do?)
222916,Go Set a Watchman,0,"You should know it, you've seen it all your life."
47606,"The Forever Song (Blood of Eden, #3)",0,"And, on the topic of Jackal, I know I talked about him in my review of The Eternity Cure, but I have to talk about him again because let's be real, Jackal is fabulous."
195535,The Fault in Our Stars,0,I gave this book five stars as I really like the story.
87076,"MILA 2.0 (MILA 2.0, #1)",0,"After her father's death and Mila's subsequent memory loss, Mila and her mother pack up and leave Philly behind for a quiet and unassuming town in Minnesota."
12913,"Delirium (Delirium, #1)",0,"For those who have yet to have the operation, still possessing emotions, they live in a capsule of constant fear."
225373,"Pink Smog (Weetzie Bat, #0)",0,"Despite this book's distinctive magic realism edge, there is SOME sprinkled in there."
270894,The Twits,0,"It was just fabulous and dark and twisted, but that's besides the point."
133970,"The Knife of Never Letting Go (Chaos Walking, #1)",0,Freaking well done.
118315,"Vampire Academy (Vampire Academy, #1)",0,"Also, they get to have these badass abilities connected to the elements."
155586,"Empress of a Thousand Skies (Empress of a Thousand Skies, #1)",0,"What really, truly makes this book one of the best in its class is how well-built this story world is."
282116,"Impulse (Impulse, #1)",0,This is the story of three teens from very different backgrounds who are in a psychiatric hospital for attempting suicide.
93093,"Ricochet (Addicted, #1.5)",0,Seeing Lily grow so much in the span of two hundred pages was so satisfying.
125479,"Elemental (Elemental, #0.5)",0,Sigh I just wish their could be more of Michael and and Emily!
85748,Never Let Me Go,0,An odd feeling?
136310,"Cinder (The Lunar Chronicles, #1)",0,"Ah right, because I, sci-fi/fantasy-freak-and-fairy-tale-lover, somehow didn't find the blurb appealing ... seems like something damaged my brainwave circuits."
281569,Inside Out & Back Again,0,"It's a great read for girls who may get a multi-cultural or historical fiction assignment, but I didn't think it was especially unique or interesting."
